timestamp,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,tcp_force_scalar
22165.391,1.073986418710276,-0.5582694196938169,-1.119355603231864,0.04915448554862578,-0.02066186323744846,-0.0008274716672717519,1.6486565861409601
22165.411,1.2708931054102037,-0.3734342831319166,-0.8979380647788271,0.047079688529764026,-0.017018680694734455,-0.00333349987847488,1.6002859798724054
22165.431,1.0218902781658432,-0.8575033547985956,-1.1291214823946085,0.057293761371037484,-0.025049622443233367,-0.0008023079323510899,1.747709090811657
22165.450999999997,0.9910192779670034,-0.4693637929300381,-0.826173538258733,0.05183885652716599,-0.01959370556733579,-0.0033087534700060642,1.3729473022424665
22165.470999999998,1.1809690904287553,-0.6977765361136015,-1.131916012886333,0.05697426480166113,-0.016985438543824345,-0.00044151918783606834,1.778430191806052
22165.490999999998,0.9387550112700148,-0.8074995106773684,-1.0471278374797819,0.060816615784476676,-0.02772116385637681,0.0031119763899406664,1.6216636947757817
22165.511,0.977929278771759,-0.6354294715970226,-0.9931648791850056,0.05275993103258997,-0.02360819205822013,-0.0017395790411120042,1.5318266105860971
22165.531,1.222095245175914,-0.6928740041004918,-1.2687103110283429,0.056305722904449206,-0.018750367603578812,0.000264807683617549,1.8929387277853078
22165.551,1.0520596602057217,-0.7464761977772106,-1.023479214265135,0.0562614688190723,-0.022633501454452587,0.0008452325807407762,1.6466833164008428
22165.571,1.4961372970994549,-0.6903177303718009,-1.0455507842768572,0.0527368050085593,-0.014079423434733293,-0.0006649067400980781,1.9514460851224376
22165.591,1.2164165738514718,-0.6147834011764166,-1.0527411955133927,0.050210612076796536,-0.019871609322116946,-0.0022985865438433064,1.722176511346489
22165.611,1.291463560563183,-0.39342698635063655,-1.072762214208195,0.05099583444488192,-0.01692169704422555,-0.0026392838990484217,1.7243786388390305
22165.630999999998,1.2540410508014024,-0.23959375220466703,-1.1067882893486858,0.0473071446128885,-0.015958931404838516,-0.0028352199330023815,1.6896758389199946
22165.650999999998,1.0130213325236843,-0.7446756822035898,-1.183942153606524,0.058413382989492287,-0.01942243008201084,0.0087486147950664,1.7269838201036791
22165.691,1.1009836411294476,-0.8547605407768765,-1.1336467389737381,0.05445724935466627,-0.022872247181707894,0.003034330784161157,1.7966456213982838
22165.711,1.0707551122699601,-0.7410833629687247,-1.0163540173853027,0.057888079497949614,-0.023892565010956435,-0.0019769568036572217,1.6518766751717677
22165.751,1.6605967322796664,-0.2487837940324206,-1.183867985051964,0.049876986314208664,-0.006349012503161494,-0.0035863365516607274,2.054511691244922
22165.790999999997,1.1137942567959827,-0.4116084500664193,-0.9694122593663981,0.046168604467369395,-0.01831237002212287,-0.0020869736010705074,1.5328794118415383
22165.810999999998,1.4832687463472116,-0.4194160522054228,-0.8882555418331893,0.05136425497088526,-0.008634288141951042,-0.005724281151812163,1.7790429748421996
